"","Estimate","Std. Error","z-value","Pr(>|z|)"
"cloud_storage2000gb",0.165323121486027,0.063785176787911,2.5918736893328,0.00954548108797226
"cloud_storage5000gb",0.894882717254847,0.0632351487234313,14.1516662065389,0
"customer_supportyes",0.493309290915443,0.0517077985608248,9.54032669434098,0
"cloud_servicesemail, video",0.632000238315124,0.0657364322316559,9.61415484320701,0
"cloud_servicesemail, video, productivity",1.49083869246794,0.0671209978033753,22.2112117110537,0
"pricep12",-0.836795239143854,0.0599632074332336,-13.9551447456441,0
"pricep18",-1.60150205160075,0.0676396395625199,-23.6769749507678,0
